date,symbol,name,board,close,score,turnover,ret_3,ret_5,volume_ratio_5,market_limit_hits,market_limit_hit_rate,market_failed_limit_hits,board_limit_hits,limit_hits_5,failed_limit_hits_5,consecutive_limit_hits,suggest_reason
2026-08-05,002428.SZ,云南锗业,main,75.19,0.3127255244460208,0.0,0.2166666666666667,0.0569299971886421,0.6513301391189429,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603061.SH,金海通,main,266.24,0.3118287457318938,0.0,0.0912369866382492,-0.040126906298446,0.6703276868703344,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603222.SH,济民健康,main,8.67,0.3107603801753057,0.0,0.2385714285714286,0.1143958868894601,0.9679146079159486,198,0.0358825661471547,45,165,2.0,0.0,2.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603358.SH,华达科技,main,39.61,0.3096694285765411,0.0,0.118610561988139,0.0573945541911371,0.95235623517479,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002655.SZ,共达电声,main,24.61,0.30604185043067306,0.0,0.1559417566932832,0.0053104575163398,1.034132719560671,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,601700.SH,风范股份,main,5.92,0.3003546977847914,0.0,0.2333333333333334,0.2307692307692308,1.7952552274429483,198,0.0358825661471547,45,165,2.0,0.0,2.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,605179.SH,一鸣食品,main,21.69,0.29919270865227715,0.0,0.2316865417376492,0.4907216494845361,1.885637562323804,198,0.0358825661471547,45,165,4.0,0.0,0.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603124.SH,江南新材,main,110.18,0.29887838298121805,0.0,0.1082277207805271,-0.0490246849646124,0.7572326265712063,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,601208.SH,东材科技,main,35.75,0.2983185635162411,0.0,0.0748647023451594,-0.0819209039548022,0.8246885234630978,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002536.SZ,飞龙股份,main,34.71,0.2975397243077861,0.0,-0.0575617702959543,-0.2281521014009339,0.7741419153571185,198,0.0358825661471547,45,165,1.0,0.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002552.SZ,宝鼎科技,main,35.76,0.29557265646269687,0.0,0.1224105461393596,-0.0216142270861833,0.8529707713719202,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603738.SH,泰晶科技,main,31.81,0.29104704844944784,0.0,0.169485294117647,0.03750815394651,0.8492996104141087,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,301396.SZ,宏景科技,chinext,176.65,0.29041920018742534,0.0,0.357488665180973,0.1039245094363203,1.2654953724579183,198,0.0358825661471547,45,26,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002957.SZ,科瑞技术,main,34.97,0.28815203981975346,0.0,0.1372357723577235,-0.0059693007390563,1.2617315550608983,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000608.SZ,阳光股份,main,6.45,0.2880084883203424,0.0,0.1684397163120568,0.0611916264090177,1.551341664948129,198,0.0358825661471547,45,165,2.0,1.0,0.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,001339.SZ,智微智能,main,71.97,0.2879705846957908,0.0,0.1358901515151516,0.0095385046991161,0.8676282836788515,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,001267.SZ,汇绿生态,main,32.07,0.28693963532236816,0.0,0.1829583179638509,0.0315213895143133,0.7426499159251434,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000048.SZ,京基智农,main,19.82,0.28651690197526025,0.0,0.15906432748538,0.0932156646442361,0.7659241728292551,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,003018.SZ,金富科技,main,34.76,0.2855963377548682,0.0,0.204852686308492,0.0131157097056251,0.682060702802029,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603163.SH,圣晖集成,main,73.7,0.28387061348566367,0.0,0.0536097212294495,0.043170559094126,1.2075108033354351,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002303.SZ,美盈森,main,4.91,0.2836414062824599,0.0,0.1445221445221445,0.072052401746725,1.000545635160691,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000510.SZ,新金路,main,14.65,0.2783627440982244,0.0,0.1269230769230769,0.00480109739369,0.5957241339356987,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603931.SH,格林达,main,32.23,0.27825271930416806,0.0,0.0870151770657672,-0.0520588235294118,0.7223297640598884,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
