symbol,name,board,is_st
603936.SH,博敏电子,main,0
603938.SH,三孚股份,main,0
603950.SH,长源东谷,main,0
603956.SH,威派格,main,0
603976.SH,正川股份,main,0
603986.SH,兆易创新,main,0
603988.SH,中电电机,main,0
603989.SH,艾华集团,main,0
605006.SH,山东玻纤,main,0
605028.SH,世茂能源,main,0
605100.SH,华丰股份,main,0
605111.SH,新洁能,main,0
605117.SH,德业股份,main,0
605133.SH,嵘泰股份,main,0
605162.SH,新中港,main,0
605189.SH,富春染织,main,0
605198.SH,安德利,main,0
605208.SH,永茂泰,main,0
605288.SH,凯迪股份,main,0
605299.SH,舒华体育,main,0
605303.SH,园林股份,main,0
605318.SH,法狮龙,main,0
605376.SH,博迁新材,main,0
688001.SH,华兴源创,star,0
688037.SH,芯源微,star,0
688048.SH,长光华芯,star,0
688072.SH,拓荆科技,star,0
688141.SH,杰华特,star,0
688146.SH,中船特气,star,0
688237.SH,超卓航科,star,0
688260.SH,昀冢科技,star,0
688308.SH,欧科亿,star,0
688328.SH,深科达,star,0
688359.SH,三孚新科,star,0
688361.SH,中科飞测,star,0
688371.SH,菲沃泰,star,0
688409.SH,富创精密,star,0
688549.SH,中巨芯,star,0
688596.SH,正帆科技,star,0
688610.SH,埃科光电,star,0
688618.SH,三旺通信,star,0
688627.SH,精智达,star,0
688669.SH,聚石化学,star,0
688679.SH,通源环境,star,0
688702.SH,盛科通信,star,0
688729.SH,屹唐股份,star,0
688766.SH,普冉股份,star,0
688797.SH,臻宝科技,star,0
688809.SH,强一股份,star,0
